key,value
3056400,2.603
3060000,2.726
3063600,2.861
3067200,3
3070800,3.133
3074400,3.251
3078000,3.345
3081600,3.41
3085200,3.44
3088800,3.434
3092400,3.392
3096000,3.318
3099600,3.214
3103200,3.09
3106800,2.953
3110400,2.813
3114000,2.679
3117600,2.56
3121200,2.465
3124800,2.4
3128400,2.369
3132000,2.374
3135600,2.416
3139200,2.491
3142800,2.594
3146400,2.719
3150000,2.856
3153600,2.997
3157200,3.132
3160800,3.251
3164400,3.347
3168000,3.412
3171600,3.443
3175200,3.437
3178800,3.395
3182400,3.319
3186000,3.215
3189600,3.089
3193200,2.951
3196800,2.809
3200400,2.673
3204000,2.553
3207600,2.456
3211200,2.39
3214800,2.359
3218400,2.365
3222000,2.407
3225600,2.483
3229200,2.588
3232800,2.714
3236400,2.854
3240000,2.996
3243600,3.133
3247200,3.254
3250800,3.351
3254400,3.417
3258000,3.449
3261600,3.443
3265200,3.4
3268800,3.324
3272400,3.218
3276000,3.091
3279600,2.95
3283200,2.807
3286800,2.669
3290400,2.547
3294000,2.45
3297600,2.383
3301200,2.351
3304800,2.357
3308400,2.4
3312000,2.477
3315600,2.584
3319200,2.712
3322800,2.853
3326400,2.998
3330000,3.136
3333600,3.259
3337200,3.358
3340800,3.425
3344400,3.457
3348000,3.451
3351600,3.408
3355200,3.331
3358800,3.224
3362400,3.095
3366000,2.952
3369600,2.807
3373200,2.667
3376800,2.544
3380400,2.445
3384000,2.377
3387600,2.345
3391200,2.351
3394800,2.395
3398400,2.473
3402000,2.581
3405600,2.711
3409200,2.855
3412800,3.002
3416400,3.142
3420000,3.267
3423600,3.367
3427200,3.436
3430800,3.468
3434400,3.462
3438000,3.419
3441600,3.34
3445200,3.232
3448800,3.101
3452400,2.957
3456000,2.809
3459600,2.668
3463200,2.543
3466800,2.442
3470400,2.374
3474000,2.341
3477600,2.347
3481200,2.392
3484800,2.471
3488400,2.581
3492000,2.713
3495600,2.859
3499200,3.008
3502800,3.151
3506400,3.277
3510000,3.379
3513600,3.449
3517200,3.482
3520800,3.476
3524400,3.432
3528000,3.352
3531600,3.242
3535200,3.11
3538800,2.963
3542400,2.814
3546000,2.67
3549600,2.543
3553200,2.442
3556800,2.372
3560400,2.339
3564000,2.345
3567600,2.391
3571200,2.472
3574800,2.583
3578400,2.717
3582000,2.865
3585600,3.017
3589200,3.162
3592800,3.29
3596400,3.394
3600000,3.465
3603600,3.498
3607200,3.493
3610800,3.448
3614400,3.367
3618000,3.255
3621600,3.121
3625200,2.972
3628800,2.82
3632400,2.675
3636000,2.546
3639600,2.443
3643200,2.372
3646800,2.339
3650400,2.346
3654000,2.392
3657600,2.474
3661200,2.587
3664800,2.723
3668400,2.874
3672000,3.028
3675600,3.175
3679200,3.306
3682800,3.411
3686400,3.483
3690000,3.517
3693600,3.512
3697200,3.466
3700800,3.384
3704400,3.271
3708000,3.134
3711600,2.984
3715200,2.829
3718800,2.682
3722400,2.551
3726000,2.446
3729600,2.375
3733200,2.341
3736800,2.348
3740400,2.394
3744000,2.478
3747600,2.593
3751200,2.732
3754800,2.885
3758400,3.041
3762000,3.191
3765600,3.324
3769200,3.431
3772800,3.504
3776400,3.539
3780000,3.533
3783600,3.487
3787200,3.404
3790800,3.289
3794400,3.15
3798000,2.997
3801600,2.841
3805200,2.691
3808800,2.558
3812400,2.452
3816000,2.379
3819600,2.345
3823200,2.352
3826800,2.399
3830400,2.484
3834000,2.601
3837600,2.742
3841200,2.898
3844800,3.057
3848400,3.209
3852000,3.344
3855600,3.453
3859200,3.528
3862800,3.563
3866400,3.558
3870000,3.511
3873600,3.426
3877200,3.31
3880800,3.169
3884400,3.013
3888000,2.854
3891600,2.702
3895200,2.567
3898800,2.459
3902400,2.385
3906000,2.35
